promo_name;promo_description;promo_type
Скидки на услуги связи от мобильного оператора Газпромбанк Мобайл при заправках от 50 литров в месяц с картой программы лояльности «Нам по пути»!;Станьте абонентом Газпромбанк Мобайл, заправляйтесь топливом от 50 литров в месяц на АЗС «Газпромнефть» с применением карты программы лояльности «Нам по пути» и получайте скидки на абонентскую плату за услуги связи до 50%. Просто закажите SIM-карту Газпромбанк Мобайл и подключите вашу карту программы лояльности «Нам по пути» к программе лояльности «Топливо на связь» в мобильном приложении Газпромбанк Мобайл. Газпромбанк Мобайл – это виртуальный оператор мобильной связи Газпромбанка, предоставляющий высокое качество связи и скоростной мобильный интернет. Зона покрытия включает всю Россию, а международный роуминг дает возможность пользоваться услугами связи во время путешествий по всему миру. Получать скидку до 50% на абонентскую плату у мобильного оператора Газпромбанк Мобайл легко:  Закажите SIM-карту на сайте gpbmobile.ru/gpn. В мобильном приложении Газпромбанк Мобайл подтвердите участие в программе лояльности «Топливо на связь» в разделе «Акции». Заправляйтесь топливом в объеме от 50 литров в месяц с применением карты Программы лояльности «Нам по пути» на АЗС «Газпромнефть» и получайте скидки на услуги связи:  - при заправке от 50 до 100 литров в месяц – скидка на абонентскую плату 30%, - при заправке более 100 литров – скидка на абонентскую плату 50%. Полная информация об акции, тарифах и условиях участия - на сайте Газпромбанк Мобайл. Для бесплатной доставки SIM-карты Газпромбанк Мобайл, перейдите на сайт gpbmobile.ru/gpn;np
Подписка на каждый день с уникальными предложениями от разных партнеров!;Газпром Бонус — это подписка, с которой вы можете управлять своей выгодой. Бесплатно смотрите кино и сериалы в онлайн-кинотеатрах, слушайте музыку без рекламы, получайте повышенные бонусы на АЗС «Газпромнефть», скидки на продукты в Ленте, покупки на OZON, медицинские услуги в Инвитро и многое другое.   За фиксированную плату вы получаете доступ к базовой подписке Газпром Бонус, которая включает самые необходимые скидки и бонусы. В любое время добавляйте к ней дополнительные пакеты со скидками на то, что вам нужно купить именно сейчас. На АЗС «Газпромнефть» получите 1,5 бонуса за каждый литр топлива на карту лояльности «Нам по пути» в статусе «Серебро» и 25% бонусами за покупку первых четырех чашек кофе и горячего шоколада в месяц. Как воспользоваться: — Оформите подписку Газпром Бонус на сайте https://gazprombonus.ru/ — Зарегистрируйтесь или авторизуйтесь в мобильном приложении «АЗС Газпромнефть» с тем же номером телефона, на который оформлена подписка Газпром Бонус — Если у вас нет виртуальной карты программы лояльности «Нам по пути», выпустите ее в приложении «АЗС Газпромнефть» или виртуализируйте имеющуюся пластиковую карту в своем профиле — Активируйте предложение сети АЗС «Газпромнефть» в приложении подписки Газпром Бонус — Каждый раз, совершая покупки топлива и акционного напитка в сети АЗС «Газпромнефть», применяйте свою карту «Нам по пути» — Заправляйтесь любым видом топлива в любом объеме и получайте 1,5 бонуса за каждый литр на карту лояльности «Нам по пути» в статусе «Серебро» — Получайте 25% бонусами за покупку первых четырех чашек кофе или горячего шоколада в месяц на карту лояльности «Нам по пути» в любом статусе в период действия подписки.;np
Каждая 6-я чашка кофе бесплатно!;В период Акции  с 01.04.2023 по 31.12.2023   Купите 5 чашек кофе и 6-ю получите в подарок.;stiu
Кешбэк за оформление карты Газпромбанка и покупки в сети АЗС «Газпромнефть»;"Получите кешбэк*:  1500 рублей по карте в пакете услуг «Газпромбанк. Премиум» за покупки на общую сумму от 3000 ₽ 750 рублей по карте в пакете услуг «Универсальный» за покупки на общую сумму от 1000 ₽  Для этого:  В период с 1 июля по 31 декабря 2023 оформите заявку на выпуск карты на сайте Газпромбанка:   перейдя по ссылке на специальную страницу акции на сайте Газпромбанка gazprombank.ru; или нажав на баннер с акцией в мобильном приложении «АЗС Газпромнефть»; или считав QR-код с экрана покупателя в прикассовой зоне на АЗС «Газпромнефть» (CRM-сенсор); или считав QR-код на рекламной листовке с акцией на АЗС «Газпромнефть» (при наличии такой листовки на АЗС).  Получите карту в отделении Газпромбанка в день оформления заявки или с бесплатной доставкой в удобное для вас место и время.    Оплачивайте топливо и сопутствующие товары и услуги в сети АЗС «Газпромнефть» на необходимую сумму накопительным итогом за период акции (одним или несколькими чеками) в течение 2 календарных месяцев с момента получения карты, при этом не позднее 31 января 2024.  Доступно новым клиентам, не имеющим карт Газпромбанка на 01.06.2023. Подробная информация о тарифах банка ГПБ (АО) по картам в пакетах услуг «Универсальный» и «Газпромбанк. Премиум», об условиях обслуживания карт на сайте банка www.gazprombank.ru.";stiu
Делитесь бонусами программы лояльности «Нам по пути» и помогайте Детскому хоспису «Дом с маяком» оказывать помощь детям на дому;Делитесь бонусами программы лояльности «Нам по пути» в мобильном приложении сети АЗС «Газпромнефть» с Детским хосписом «Дом с маяком» для помощи семьям с неизлечимо больными детьми на дому. Бонусы пойдут для заправки автомобилей выездных бригад и волонтеров Детского хосписа «Дом с маяком» в Москве и Московской области. Переведённые клиентами сети бонусы будут поступать напрямую на бонусную карту Детского хосписа. Как переводить бонусы для поддержки детей и молодых взрослых с неизлечимыми заболеваниями:  Установите мобильное приложение сети АЗС «Газпромнефть». В мобильном приложении нажмите на карту, с которой хотите совершить перевод: для этого выберите раздел «Перевод бонусов». Выберите «Благотворительность → Перевод бонусов Детскому хоспису «Дом с маяком» → Введите количество бонусов. Подтвердите ваше решение: на ваш телефон поступит проверочный код, который нужно будет ввести в появившемся окошке.;np
Дарим скидку 10% при покупке  кофе онлайн;В  период Aкции с 6.07.23 по 31.12.23 дарим скидку 10% при покупке кофе онлайн через мобильное приложение;stiu
Поделитесь бонусами программы лояльности «Нам по пути» с поисково-спасательным отрядом «ЛизаАлерт» и помогите найти пропавших людей;Поделись бонусами программы лояльности «Нам по пути» в мобильном приложении сети АЗС «Газпромнефть» с поисково-спасательным отрядом «ЛизаАлерт», чтобы помочь волонтерам в поиске пропавших людей. Перевод бонусов для помощи добровольцам отряда «ЛизаАлерт» доступен в мобильном приложении сети АЗС «Газпромнефть», бонусы напрямую поступают на карту отряда. Топливо необходимо для заправки транспорта экипажей волонтеров, выезжающих на поиск, и генераторов, от которых работают беспилотники, компьютеры и оборудование выездных штабов при поисках.   Как перевести бонусы?  Установите мобильное приложение сети АЗС «Газпромнефть». В мобильном приложении нажмите на карту, с которой хотите совершить перевод: для этого выберите раздел «Перевод бонусов». Выберите «Благотворительность → Перевод бонусов отряду «ЛизаАлерт» → Введите количество бонусов. Подтвердите ваше решение: на ваш телефон поступит проверочный код, который нужно будет ввести в появившемся окошке.;np
Оплачивайте сопутствующие товары и услуги через Систему быстрых платежей (СБП) и получайте скидку 5%!;В период Акции (01.09.23-31.12.23) совершайте  покупки сопутствующих товаров и услуг на АЗС «Газпромнефть» и получайте скидку 5% при оплате через СБП!;stiu
Как получить целый миллион бонусов? Просто участвуйте в акции от БКС и получите бонусы за инвестиции. Оплачивайте ими заправки или покупки на наших АЗС.;Сколько бонусов1 можно получить:  1 000 бонусов за открытие брокерского счета или ИИС и первые инвестиции на сумму от 1 000 ₽ До 2 000 бонусов за каждые 100 000 ₽ инвестиций в продукты, участвующие в акции 1 001 000 бонусов – максимальное количество бонусов, которые может получить участник акции за все время проведения акции.    Как получить бонусы:  Оставьте заявку на сайте акции. В заявке укажите номер вашей карты программы лояльности «Нам по пути». На нее будут начислены бонусы. Номер карты можно увидеть в приложении «АЗС ГПН». Откройте брокерский счет онлайн. Это бесплатно и займет пару минут. Начните инвестировать. Со следующего месяца 60 календарных дней не выводите активы и деньги. Получите до 1 001 000 бонусов на карту лояльности «Нам по пути».    Участие в акции могут принять новые клиенты БКС, а также действующие клиенты с активами до 1 000 ₽.;stiu
Вторая бутылка энергетика в подарок!;Покупайте энергетический напиток G-Drive 0,5 л  в ассортименте и получите вторую бутылку энергетика в подарок!;stiu
Второй батончик со скидкой 50%!;При покупке протеинового батончика IRONMAN for G-Drive 50г, скидка на второй батончик 50%!;stiu
Вторая бутылка воды в подарок!;Покупайте воду G-Drive 0,5л ПЭТ в ассортименте и получите вторую бутылку воды в подарок!;stiu
Вторая бутылка холодного чая со скидкой 50%!;При покупке холодного чай G-Drive 0,5л ПЭТ в ассортименте, скидка на второй 50%!;stiu
Вторая бутылка Laimon fresh в подарок!;Покупайте напиток Laimon fresh 0,5л ПЭТ в ассортименте и получите вторую бутылку в подарок!;stiu
Второй батончик со скидкой 50%!;При покупке батончиков Snickers Super 80г, Snickers Лесной орех 81г, Snickers Криспер трио 60г, Snickers Белый 81г, Bounty Трио 82.5г, Twix Экстра 82г, Mars Maх 81г, Twix Экстра соленая карамель 82г, скидка на второй батончик 50%!;stiu
Вторая жевательная резинка со скидкой 50%!;При покупке жевательной резинки Dirol 13,6г в ассортименте, скидка на вторую  50%!;stiu
Масла Gazpromneft Super в ассортименте со скидкой до 20%!;Покупайте масла Gazpromneft Super в ассортименте со скидкой до 20%!;stiu
Антифризы Felix Prolonger, Carbox, Energy 5 кг со скидкой 20%!;Покупайте антифризы Felix 5кг в ассортименте со скидкой 20%!;stiu
Масла Gazpromneft Premium в ассортименте со скидкой до 20%!;Покупайте масла Gazpromneft Premium в ассортименте со скидкой до 20%!;stiu
Кофе L по цене кофе M!;Покупайте кофе объемом 400 мл по цене кофе объемом 300 мл!;stiu
Три твин-дога по специальной цене!;При покупке трех твин-догов специальная цена 799₽!;stiu
Второй чизбургер со скидкой 25%!;При покупке чизбургера, второй со скидкой 25%!;stiu
заправке G-Drive Diesel от 30 литров;В период с 28 октября по 6 ноября 2023 г. приезжайте на АЗС «Газпромнефть», заправляйтесь от 30 литров топливом G-Drive Diesel и получайте скидку 1,5 рубля за каждый литр в чеке. Скидка предоставляется на первые 100 литров G-Drive Diesel в чеке.;np
Получи 1500р от IRBIS!;"Водитель! Подключись в Яндекс.Такси или в Яндекс.Доставка, через парк Taxilive.ru, выполни 100 заказов за 14 дней и гарантированно получи  топливную карту номиналом 1500р от IRBIS !   *Действует только для новых водителей. Первые 7 дней комиссия парка 0%. Звони по телефону +79874007381 (можно ватсап) называй пароль ""IRBIS"" и участвуй в акции!  Мета вселенная такси Казани: https://taxikazan.taplink.ws";np
Хот-дог с сосиской из индейки;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqvHfCE7  Хот-дог французский/датский с сосиской из индейки от 159 рублей. Только на АЗС IRBIS!  Предложение действительно с 01.10.23 по 30.11.23 при наличии акционного товара в магазине.;stiu
